,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
108,Labytnangi,48,RU,1544938240,82,66.66,66.39,29.53,15.01
109,Esperance,40,TT,1544936400,88,10.24,-61.45,75.2,4.16
110,San Vicente,0,SV,1544935800,53,13.64,-88.78,77,10.29
111,el Prat de Llobregat,20,ES,1544936400,76,41.32,2.1,51.8,5.82
112,Carnarvon,0,ZA,1544938242,38,-30.97,22.13,67.02,4.61
114,Lulea,0,SE,1544935800,83,65.58,22.15,-9.41,13.56
115,Codrington,90,AU,1544937240,88,-28.95,153.24,75.2,14.99
116,Hobyo,0,SO,1544938244,69,5.35,48.53,81.01,20.38
117,Itoman,20,JP,1544936400,53,26.12,127.67,77.36,11.41
118,Cape Town,20,ZA,1544936400,68,-33.93,18.42,69.8,14.99
119,Rome,0,IT,1544935800,100,41.89,12.48,35.6,5.82
120,Bubaque,0,GW,1544938245,100,11.28,-15.83,78.67,21.72
121,Shubarshi,92,KZ,1544938246,95,48.59,57.19,32.64,9.98
122,At-Bashi,0,KG,1544938246,54,41.17,75.81,25.93,2.26
123,Veraval,90,FR,1544936400,94,49.65,0.71,44.6,6.93
124,Port Hedland,0,AU,1544936400,48,-20.31,118.58,87.8,24.16
125,Kodiak,1,US,1544936100,92,39.95,-94.76,37.4,4.7
126,Tsumeb,20,NA,1544936400,53,-19.25,17.72,71.6,3.36
127,Geraldton,20,CA,1544936400,63,49.72,-86.95,32,6.93
129,Lazaro Cardenas,20,MX,1544938249,52,28.39,-105.62,32.86,3.94
130,Beringovskiy,8,RU,1544938249,100,63.05,179.32,-16.73,12.21
133,Yellowknife,20,CA,1544936400,75,62.45,-114.38,-18.41,5.82
134,Richards Bay,0,ZA,1544938250,81,-28.77,32.06,78.81,5.61
135,West Wendover,1,US,1544936160,80,40.74,-114.07,24.98,2.48
136,Hermanus,44,ZA,1544938251,78,-34.42,19.24,63.82,5.17
137,Nisia Floresta,20,BR,1544936400,73,-6.09,-35.21,77,5.82
139,Pochutla,0,MX,1544938253,100,15.74,-96.47,78.22,4.5
140,Gorazde,75,BA,1544936400,100,43.67,18.98,24.8,2.15
141,Mecca,0,SA,1544938263,68,21.43,39.83,74.22,4.16
142,Bacolod,44,PH,1544938264,81,10.68,122.95,81.91,9.86
143,Makakilo City,1,US,1544936160,64,21.35,-158.09,75.92,3.36
144,Balikpapan,20,ID,1544936400,59,-1.24,116.86,89.6,8.05
145,Dudinka,88,RU,1544938265,76,69.41,86.18,-3.41,15.12
146,Clovis,1,US,1544936940,82,36.83,-119.7,48.92,5.82
147,Aklavik,5,CA,1544936400,76,68.22,-135.01,-11.21,8.05
148,New Norfolk,75,AU,1544936400,69,-42.78,147.06,73.4,13.87
149,Porto Belo,75,BR,1544936400,83,-27.15,-48.54,73.4,7.29
150,Comodoro Rivadavia,75,AR,1544936400,40,-45.87,-67.48,68,26.4
151,Madras,90,US,1544937300,74,44.63,-121.13,48.2,8.63
152,San Andres,92,PH,1544938270,100,13.32,122.68,77.05,15.57
153,Maungaturoto,0,NZ,1544938270,82,-36.11,174.36,69.31,6.73
155,Bredasdorp,48,ZA,1544936400,77,-34.53,20.04,69.8,5.82
156,Bathsheba,20,BB,1544936400,65,13.22,-59.52,78.8,20.8
157,Palmer,75,AU,1544936400,73,-34.85,139.16,69.8,12.75
158,Pevek,0,RU,1544938272,100,69.7,170.27,-29.33,5.95
160,Atar,80,MR,1544938273,46,20.52,-13.05,56.49,2.93
161,Clyde River,1,CA,1544936400,83,70.47,-68.59,-4.01,16.11
162,Saskylakh,44,RU,1544938275,32,71.97,114.09,-22.54,2.59
163,Uruzgan,0,AF,1544938276,14,32.93,66.63,41.32,2.71
165,Flinders,76,AU,1544938277,95,-34.58,150.85,69.13,1.36
166,Le Port,92,FR,1544938277,93,42.87,1.37,31.92,0.81
167,Port Moresby,40,PG,1544932800,50,-9.47,147.16,95,17.22
168,Altay,32,CN,1544938279,68,47.83,88.13,12.79,2.71
169,Tiksi,64,RU,1544938279,56,71.64,128.87,-11.74,3.94
170,Kutum,0,SD,1544938279,55,14.2,24.66,52.44,3.71
171,Kaitangata,0,NZ,1544938280,79,-46.28,169.85,63.51,7.07
172,Nikolskoye,90,RU,1544936400,92,59.7,30.79,19.4,6.71
173,Fernley,40,US,1544936100,51,39.61,-119.25,37.04,3.36
174,Namibe,92,AO,1544938281,100,-15.19,12.15,72.46,8.41
175,Leh,0,IN,1544938282,75,34.16,77.58,-21.32,1.7
176,Ayan,68,TR,1544938282,87,40.67,33.6,32.19,1.36
178,Manokwari,44,ID,1544938283,100,-0.87,134.08,81.82,3.15
179,Ulagan,36,RU,1544938283,71,50.63,87.96,5.95,2.93
180,Hun,92,BE,1544937600,93,50.34,4.87,33.8,10.29
181,Santa Cruz de la Palma,0,ES,1544936400,72,28.68,-17.76,64.4,10.29
182,Buraydah,20,SA,1544932800,100,26.33,43.97,51.8,3.36
183,Hobart,75,AU,1544936400,69,-42.88,147.33,73.4,13.87
184,Khulna,100,BD,1544938285,60,22.82,89.55,72.19,7.74
185,Wellington,12,NZ,1544936400,72,-41.29,174.78,64.4,18.34
186,Canton,90,US,1544936760,75,40.8,-81.38,44.06,13.87
187,Elizabeth City,90,US,1544937600,93,36.3,-76.22,60.98,12.75
189,Saldanha,92,PT,1544938286,98,41.42,-6.55,50.77,6.96
190,Georgetown,75,GY,1544936400,88,6.8,-58.16,73.4,4.7
191,Luena,92,AO,1544938288,100,-11.78,19.91,62.38,3.49
192,Zemio,24,CF,1544938288,82,5.02,25.13,75.39,2.59
193,Belyy Yar,0,RU,1544936400,58,53.6,91.39,30.2,11.18
194,Victoria,75,BN,1544936400,79,5.28,115.24,86,6.93
195,Norilsk,88,RU,1544938289,74,69.35,88.2,-3.32,10.98
197,East London,75,ZA,1544936400,100,-33.02,27.91,69.8,2.24
198,Severo-Kurilsk,64,RU,1544938290,100,50.68,156.12,27.73,11.99
199,Mabaruma,92,GY,1544938291,95,8.2,-59.78,75.57,4.94
200,Chuy,0,UY,1544938291,94,-33.69,-53.46,59.32,8.3
201,Ancud,90,CL,1544936400,100,-41.87,-73.83,55.4,10.29
202,Warrnambool,12,AU,1544938292,89,-38.38,142.48,66.07,6.85
203,Arlit,12,NE,1544938293,64,18.74,7.39,51.36,12.44
204,Ribeira Grande,92,PT,1544938293,98,38.52,-28.7,62.65,18.14
205,Myitkyina,76,MM,1544938293,73,25.38,97.4,72.42,3.15
206,Sangar,64,RU,1544938294,57,63.92,127.47,-6.34,8.63
207,Goya,92,AR,1544938294,95,-29.14,-59.27,71.97,7.96
208,Malyn,88,UA,1544936400,100,50.77,29.25,24.8,11.18
209,Upernavik,36,GL,1544938295,100,72.79,-56.15,14.32,4.38
210,Zeya,68,RU,1544938295,65,53.74,127.27,-9.85,2.93
212,Norman Wells,5,CA,1544936400,83,65.28,-126.83,-13.01,6.93
213,Mega,0,ET,1544938296,35,4.06,38.32,71.29,8.75
214,Ust-Kalmanka,92,RU,1544938297,89,52.12,83.31,30.61,14.45
215,New Glasgow,0,CA,1544938297,89,45.59,-62.65,31.02,10.98
216,Rocky Mountain House,24,CA,1544938297,68,52.38,-114.92,15.99,4.72
217,Santa Maria del Oro,68,MX,1544938298,63,25.95,-105.37,29.62,1.92
218,Nouadhibou,48,MR,1544932800,88,20.93,-17.03,62.6,13.87
219,Sur,88,OM,1544938299,100,22.57,59.53,73.72,10.87
221,Udachnyy,48,RU,1544938300,68,66.42,112.4,-10.61,3.94
222,Butaritari,80,KI,1544938300,100,3.07,172.79,83.98,10.31
223,High Level,0,CA,1544938301,66,58.52,-117.13,-1.34,2.37
224,Camabatela,0,AO,1544938301,90,-8.19,15.37,65.08,3.27
225,San Patricio,80,PY,1544938301,95,-26.98,-56.83,75.66,2.15
226,Hamilton,90,BM,1544936100,83,32.3,-64.78,71.6,17.22
227,Merauke,92,ID,1544938302,100,-8.49,140.4,77.14,8.19
228,Kawalu,20,ID,1544938303,85,-7.38,108.21,76.51,2.93
229,Lavrentiya,64,RU,1544938303,100,65.58,-170.99,10,14.67
230,Tubmanburg,24,LR,1544938303,86,6.87,-10.82,71.16,3.27
231,Gottmadingen,75,CH,1544937600,100,47.73,8.78,30.2,4.7
232,Kahului,1,US,1544936160,71,20.89,-156.47,75.92,20.8
234,Baglung,0,NP,1544938069,35,28.27,83.59,58.47,1.81
235,Fortuna,0,ES,1544936400,62,38.18,-1.13,57.2,12.75
236,Iqaluit,75,CA,1544936400,85,63.75,-68.52,10.4,2.24
237,Ketchikan,90,US,1544935980,75,55.34,-131.65,41,27.51
238,Cayenne,75,GF,1544936400,88,4.94,-52.33,75.2,7.96
239,Ortona,0,IT,1544935800,74,42.35,14.4,33.8,6.93
240,Mount Gambier,40,AU,1544936400,50,-37.83,140.78,75.2,10.29
241,San Policarpo,76,PH,1544938307,100,12.18,125.51,79.89,10.31
242,Culebra,1,US,1544936100,67,34.68,-105.77,25.88,7.63
243,Ukiah,90,US,1544936160,86,39.15,-123.21,53.96,11.41
244,Anzio,0,IT,1544937600,100,41.45,12.63,35.6,5.82
245,Karratha,0,AU,1544938310,18,-20.74,116.85,94.69,16.91
246,Kualakapuas,40,ID,1544934600,74,-3.01,114.39,84.2,4.7
247,Kitimat,90,CA,1544937540,86,54.02,-128.69,33.8,20.8
248,Klaksvik,92,FO,1544935800,81,62.23,-6.59,42.8,35.57
249,Havre-Saint-Pierre,20,CA,1544936400,73,50.23,-63.6,24.8,11.41
250,Vestmannaeyjar,68,IS,1544938312,100,63.44,-20.27,40.29,8.75
251,Petropavlovsk-Kamchatskiy,0,RU,1544936400,47,53.05,158.65,15.8,6.71
252,Soe,88,EE,1544935800,100,57.91,26.05,21.2,6.93
253,Liverpool,0,GB,1544935800,81,53.41,-2.98,42.8,8.05
254,Gat,0,SN,1544936400,56,14.69,-16.54,75.2,12.75
255,Paamiut,12,GL,1544938313,98,61.99,-49.67,29.62,6.73
256,Xuddur,0,SO,1544938314,61,4.12,43.89,75.07,14.23
257,Korcula,12,HR,1544938314,100,42.96,17.14,23.64,3.15
258,Saint Anthony,1,US,1544936160,80,43.97,-111.68,21.02,8.05
259,Lata,0,IN,1544938315,47,30.78,78.62,48.57,0.81
260,Half Moon Bay,90,US,1544936400,76,37.46,-122.43,59,6.93
261,Banjar,80,ID,1544938316,72,-7.37,108.54,82.41,5.5
262,Bozhou,0,CN,1544938316,38,33.86,115.78,53.61,10.87
263,Margate,75,AU,1544936400,69,-43.03,147.26,73.4,13.87
264,Tagab,0,AF,1544938317,65,34.85,69.65,33.4,2.59
265,Lodwar,0,KE,1544938317,63,3.12,35.6,78.31,2.48
266,Hasaki,75,JP,1544936400,56,35.73,140.83,44.6,9.17
267,Vila Velha,75,BR,1544936400,74,-3.71,-38.6,80.6,10.29
268,Hervey Bay,90,AU,1544936400,78,-25.3,152.85,78.8,10.29
269,Alofi,92,NU,1544932800,94,-19.06,-169.92,75.2,1.12
270,Beidao,0,CN,1544938319,76,34.57,105.89,33.54,2.59
271,Puerto Quijarro,12,BO,1544938319,77,-19,-57.72,78.72,2.71
272,Ngunguru,0,NZ,1544938320,89,-35.62,174.5,69.22,9.64
273,Acapulco,5,MX,1544935500,88,16.86,-99.88,77,5.82
275,Zhongshu,80,CN,1544938321,85,24.52,103.77,44.47,3.71
276,Coruripe,88,BR,1544938322,99,-10.12,-36.18,78.4,10.54
277,Nanortalik,80,GL,1544938322,88,60.14,-45.24,27.46,4.72
278,Paramonga,80,PE,1544938323,100,-10.68,-77.82,67.33,11.21
279,Redlands,1,US,1544936280,70,34.06,-117.19,51.8,2.37
280,Niamey,0,NE,1544936400,19,13.52,2.11,68,6.93
281,Burnie,88,AU,1544938324,100,-41.05,145.91,61.21,9.64
282,Yaan,0,NG,1544938324,76,7.38,8.57,65.89,4.16
283,Obo,20,CF,1544938325,81,5.39,26.49,74.49,4.61
284,Vao,12,EE,1544938325,86,59.1,26.19,5.37,5.39
285,Mahebourg,40,MU,1544936400,61,-20.41,57.7,82.4,18.34
286,Purpe,80,RU,1544938326,84,64.48,76.69,9.51,3.38
287,Portales,75,US,1544936280,22,34.19,-103.33,49.1,17.22
288,Taoudenni,0,ML,1544938327,52,22.68,-3.98,44.47,10.76
289,Port-Gentil,40,GA,1544936400,88,-0.72,8.78,80.6,8.05
290,Sukumo,92,JP,1544938328,100,32.94,132.72,55.45,8.52
291,Tabuk,36,PH,1544938328,79,17.41,121.44,72.51,2.71
292,Magistralnyy,56,RU,1544938076,51,56.17,107.45,15.04,9.42
293,Klyuchi,68,RU,1544938329,83,52.25,79.17,16.17,5.28
294,Lorengau,36,PG,1544938329,97,-2.02,147.27,86.23,7.63
295,Airai,32,TL,1544938329,59,-8.93,125.41,84.79,2.71
296,Brewster,1,US,1544936160,67,41.76,-70.08,44.6,12.75
297,Davila,20,PH,1544936400,52,18.47,120.58,89.6,9.17
298,Namatanai,0,PG,1544938331,92,-3.66,152.44,87.22,9.64
300,Delmas,24,HT,1544938332,100,18.55,-72.29,65.22,3.15
301,Biskamzha,36,RU,1544938333,75,53.45,89.53,23.82,5.28
302,Caramay,12,PH,1544938333,94,10.18,119.24,83.44,12.44
304,Palana,12,RU,1544938334,82,59.08,159.95,2.98,4.5
305,Barcelos,20,PT,1544936400,100,41.53,-8.62,57.2,3.36
306,Nioro,64,GM,1544938338,38,13.79,-15.05,69.54,11.43
307,Abu Zabad,0,SD,1544938338,42,12.35,29.25,62.83,11.43
308,Port Lincoln,24,AU,1544938339,87,-34.72,135.86,66.61,10.76
309,Belem de Sao Francisco,8,BR,1544938339,74,-8.75,-38.97,69.81,12.21
310,Palmeirais,48,BR,1544938339,82,-5.97,-43.06,74.26,6.73
311,Laguna,92,MX,1544938134,72,27.52,-110.01,54.42,1.92
312,Foumban,0,CM,1544938340,69,5.73,10.9,53.29,1.92
313,Cabedelo,0,BR,1544936400,88,-6.97,-34.84,73.4,4.7
314,Escuintla,20,GT,1544936400,81,14.29,-90.78,53.6,18.34
315,Narsaq,76,GL,1544938341,68,60.91,-46.05,15.72,2.59
316,Kalmunai,44,LK,1544938342,80,7.42,81.82,82.99,11.54
317,Yerbogachen,44,RU,1544938066,50,61.28,108.01,0.91,8.97
318,Wajid,0,SO,1544938342,48,3.81,43.25,80.79,13.33
319,Bonthe,8,SL,1544938343,89,7.53,-12.5,73.27,4.38
321,Bethel,20,US,1544936160,81,60.79,-161.76,-11.03,5.82
322,Tamsalu,12,EE,1544938344,86,59.16,26.11,5.37,5.39
323,Ahipara,44,NZ,1544938344,69,-35.17,173.16,71.97,3.6
325,Rawson,0,AR,1544938345,35,-43.3,-65.11,73.45,17.02
326,Benjamin Constant,75,BR,1544936400,100,-4.38,-70.03,75.2,4.7
327,Katsuura,75,JP,1544936400,71,33.93,134.5,53.6,14.99
328,Callaway,1,US,1544937300,90,46.98,-95.91,35.96,9.17
330,Cao Bang,12,VN,1544938346,69,22.67,106.25,57.12,8.97
331,Plettenberg Bay,64,ZA,1544938347,100,-34.05,23.37,63.91,1.59
332,Charters Towers,76,AU,1544938347,98,-20.07,146.27,73.09,10.42
333,College,75,US,1544936580,83,64.86,-147.8,-13.01,3.94
335,Syamzha,8,RU,1544938348,69,60.02,41.06,2.08,5.17
336,Olavarria,0,AR,1544938348,60,-36.89,-60.32,65.89,10.42
337,Adrar,0,DZ,1544936400,56,27.87,-0.29,42.8,10.29
338,Padilla,20,CO,1544938349,100,3.23,-76.31,45.73,1.7
339,Turayf,40,SA,1544932800,100,31.68,38.65,42.8,13.87
340,Byron Bay,90,AU,1544937240,88,-28.65,153.62,75.2,14.99
341,Kargasok,76,RU,1544938350,89,59.06,80.87,19.9,3.15
342,Sunnyside,80,CA,1544938351,93,47.86,-53.92,28.9,18.7
343,Hovd,0,NO,1544935800,59,63.83,10.7,33.8,35.57
344,Souillac,32,FR,1544936400,93,45.6,-0.6,46.4,7.07
346,Jinchang,0,CN,1544938265,66,38.52,102.19,29.62,3.94
347,Soledade,20,BR,1544932800,88,-7.06,-36.37,69.8,6.93
348,Eyl,0,SO,1544938353,86,7.98,49.82,78.81,18.59
349,Guayaramerin,92,BO,1544938353,100,-10.82,-65.36,73.18,1.92
350,Aranos,0,NA,1544938354,18,-24.14,19.11,82.45,12.77
351,Verkhnevilyuysk,48,RU,1544938354,71,63.45,120.31,0.91,1.7
353,Can,8,IT,1544937600,79,46.08,11.97,30.2,2.24
354,Gornopravdinsk,92,RU,1544938355,88,60.06,69.92,22.47,4.94
355,Whitehorse,90,CA,1544936400,77,60.72,-135.06,6.8,5.82
356,Henties Bay,100,NA,1544938356,92,-22.12,14.28,61.89,7.74
357,Solnechnyy,56,RU,1544938356,71,50.72,136.64,-2.29,2.37
358,Cherskiy,12,RU,1544938356,0,68.75,161.3,-35.59,2.15
359,Poum,75,MK,1544936400,93,41.28,20.71,39.2,3.36
360,Muros,40,ES,1544936400,100,42.77,-9.06,50,6.93
361,Wanning,40,AT,1544937600,92,48.64,13.53,15.8,4.7
362,Roebourne,0,AU,1544938358,18,-20.77,117.15,94.69,16.91
363,Alcudia,0,ES,1544936400,87,39.85,3.12,57.2,10.29
364,Broken Hill,0,AU,1544938359,39,-31.97,141.45,84.07,7.74
365,Thap Than,0,TH,1544938359,54,15.46,99.89,86.01,7.63
366,Valley City,1,US,1544937300,69,46.92,-98,39.92,16.11
368,Teya,5,MX,1544935500,77,21.05,-89.07,60.8,3.83
370,Sinnamary,92,GF,1544938361,92,5.38,-52.96,79.71,11.77
371,Torbay,40,CA,1544936400,74,47.66,-52.73,30.2,27.51
372,Sligo,64,IE,1544938361,98,54.27,-8.48,41.01,8.52
373,Sassandra,0,CI,1544938362,99,4.95,-6.09,82.59,10.98
374,Polonnaruwa,32,LK,1544938362,87,7.94,81,80.02,10.76
375,Boguchany,12,RU,1544938363,54,58.38,97.46,6.85,2.93
376,Avera,1,US,1544937300,96,33.19,-82.53,48.92,4.7
377,Khazar,88,RU,1544938363,100,41.99,48.34,44.11,22.28
378,Tiznit,0,MA,1544938364,90,29.7,-9.73,52.71,6.06
380,Zlatibor,92,RS,1544936400,92,43.73,19.7,21.2,6.93
381,Estelle,1,US,1544937300,58,32.87,-97.01,47.66,2.37
382,Mahajanga,20,MG,1544936400,55,-15.72,46.32,86,9.17
383,Atasu,92,KZ,1544938366,91,48.68,71.64,21.43,9.64
384,Naze,40,NG,1544932800,100,5.43,7.07,73.4,6.96
385,Nara,75,JP,1544936400,46,34.68,135.8,53.6,4.7
386,Ipilan,44,PH,1544938367,96,8.84,117.9,83.76,11.77
387,Cloquet,1,US,1544937480,47,46.72,-92.46,39.2,11.41
388,Zhangzhou,75,CN,1544936400,64,24.51,117.65,71.6,2.24
389,Tevaitoa,48,PF,1544938369,97,-16.78,-151.5,83.31,11.21
390,Searcy,20,US,1544936940,100,35.25,-91.74,44.96,5.17
392,Pacific Grove,1,US,1544936100,82,36.62,-121.92,51.08,4.7
393,Kirakira,92,SB,1544938370,99,-10.46,161.92,86.41,13
395,Meulaboh,92,ID,1544938370,100,4.14,96.13,83.35,2.71
396,Hauterive,90,FR,1544936400,66,46.09,3.45,51.8,5.82
397,Mandal,0,MN,1544938371,55,48.82,106.5,13.56,7.18
398,Rabo de Peixe,20,PT,1544936400,67,37.8,-25.58,59,14.99
399,Veshenskaya,0,RU,1544938372,77,49.63,41.73,9.69,7.18
400,Camacha,20,PT,1544936400,93,33.08,-16.33,60.8,5.82
401,Synya,88,RU,1544938373,95,65.37,58.04,32.91,8.97
402,Butembo,24,CD,1544938373,90,0.12,29.29,67.06,1.7
403,Port Elizabeth,90,US,1544936220,96,39.31,-74.98,50,18.34
404,Aswan,0,EG,1544932800,85,24.09,32.9,53.6,1.12
405,Yingcheng,0,CN,1544936400,50,30.93,113.57,51.8,6.71
406,Nambucca Heads,90,AU,1544936400,94,-30.64,152.99,71.6,11.41
407,Raudeberg,0,NO,1544935800,44,61.99,5.14,41,19.46
408,Bonfim,0,BR,1544932800,68,-20.33,-44.24,71.6,5.82
409,Sardarshahr,0,IN,1544938376,52,28.43,74.48,63.42,4.83
410,Touros,20,BR,1544936400,88,-5.2,-35.46,73.4,4.7
411,Porto Walter,88,BR,1544938377,99,-8.27,-72.74,72.19,2.37
412,Ikalamavony,20,MG,1544938377,62,-21.17,46.6,73.54,4.72
413,Qandala,56,SO,1544938378,85,11.47,49.87,71.79,7.4
414,Shenjiamen,64,CN,1544938378,100,29.96,122.3,51.36,29.66
415,Ouallam,0,NE,1544938378,42,14.32,2.08,61.17,10.76
416,Umm Kaddadah,0,SD,1544938379,31,13.6,26.69,58.47,5.17
417,Danielskuil,48,ZA,1544938379,31,-28.19,23.54,72.96,4.61
418,Katobu,12,ID,1544938379,69,-4.94,122.53,91.27,10.09
419,Tateyama,75,JP,1544936400,23,36.66,137.31,53.6,16.11
420,Zhigansk,64,RU,1544938380,71,66.77,123.37,-5.93,8.97
